,學院,semester,參加社團,average,diff
61,理學院,1051,Y,78.54475862068965,-1.31008986415884
62,理學院,1052,N,77.09878787878789,0.1284535005224683
63,理學院,1052,Y,77.22724137931036,0.1284535005224683
64,生醫理工學院,1021,N,77.24777777777778,-4.110577777777777
65,生醫理工學院,1021,Y,73.1372,-4.110577777777777
66,生醫理工學院,1022,N,79.11,-3.2235999999999905
67,生醫理工學院,1022,Y,75.88640000000001,-3.2235999999999905
68,生醫理工學院,1031,N,77.81,-6.117200000000011
69,生醫理工學院,1031,Y,71.69279999999999,-6.117200000000011
70,生醫理工學院,1032,N,75.69333333333333,-5.864933333333326
71,生醫理工學院,1032,Y,69.8284,-5.864933333333326
72,生醫理工學院,1041,N,80.51666666666667,-3.018666666666661
73,生醫理工學院,1041,Y,77.498,-3.018666666666661
74,生醫理工學院,1042,N,80.75111111111111,-0.7147111111111144
75,生醫理工學院,1042,Y,80.0364,-0.7147111111111144
76,生醫理工學院,1051,N,81.69888888888889,-0.125288888888889
77,生醫理工學院,1051,Y,81.5736,-0.125288888888889
78,生醫理工學院,1052,N,80.80666666666667,1.0317333333333352
79,生醫理工學院,1052,Y,81.83840000000001,1.0317333333333352
80,管理學院,1021,N,79.06619047619047,-0.289213732004427
81,管理學院,1021,Y,78.77697674418604,-0.289213732004427
82,管理學院,1022,N,76.60000000000001,-0.7652558139535017
83,管理學院,1022,Y,75.8347441860465,-0.7652558139535017
84,管理學院,1031,N,76.27666666666667,-2.1040155038759707
85,管理學院,1031,Y,74.1726511627907,-2.1040155038759707
86,管理學院,1032,N,78.59253968253968,-1.6565396825396732
87,管理學院,1032,Y,76.936,-1.6565396825396732
88,管理學院,1041,N,81.21587301587302,-2.4133148763381342
89,管理學院,1041,Y,78.80255813953488,-2.4133148763381342
90,管理學院,1042,N,83.03428571428572,-2.2247043189368725
91,管理學院,1042,Y,80.80958139534884,-2.2247043189368725
92,管理學院,1051,N,83.76015873015874,-0.9701122185308293
93,管理學院,1051,Y,82.7900465116279,-0.9701122185308293
94,管理學院,1052,N,81.9552380952381,-1.0920287929125152
95,管理學院,1052,Y,80.86320930232559,-1.0920287929125152
96,資訊電機學院,1021,N,76.52492753623189,-0.48961108053568125
97,資訊電機學院,1021,Y,76.0353164556962,-0.48961108053568125
98,資訊電機學院,1022,N,75.85971014492753,-0.7433177398642385
99,資訊電機學院,1022,Y,75.1163924050633,-0.7433177398642385
100,資訊電機學院,1031,N,76.5372463768116,-2.2305375160521095
101,資訊電機學院,1031,Y,74.30670886075949,-2.2305375160521095
102,資訊電機學院,1032,N,78.61072463768116,-1.3678132452760963
103,資訊電機學院,1032,Y,77.24291139240506,-1.3678132452760963
104,資訊電機學院,1041,N,81.43028985507246,-1.7917455512749996
105,資訊電機學院,1041,Y,79.63854430379746,-1.7917455512749996
106,資訊電機學院,1042,N,81.65971014492754,-0.04850761328196995
107,資訊電機學院,1042,Y,81.61120253164557,-0.04850761328196995
108,資訊電機學院,1051,N,79.90666666666667,-0.1035654008438911
109,資訊電機學院,1051,Y,79.80310126582278,-0.1035654008438911
110,資訊電機學院,1052,N,79.12246376811594,-0.14170427444506117
111,資訊電機學院,1052,Y,78.98075949367087,-0.14170427444506117
