,學院,semester,系學會社團,average,diff
79,生醫理工學院,1052,Y,80.39166666666667,-1.8137878787878776
80,管理學院,1021,N,78.83512987012988,0.01656367825722782
81,管理學院,1021,Y,78.8516935483871,0.01656367825722782
82,管理學院,1022,N,76.36103896103896,-0.7911196062002404
83,管理學院,1022,Y,75.56991935483872,-0.7911196062002404
84,管理學院,1031,N,74.98616883116884,-0.7548785085881917
85,管理學院,1031,Y,74.23129032258065,-0.7548785085881917
86,管理學院,1032,N,78.36194805194805,-2.355254503560957
87,管理學院,1032,Y,76.00669354838709,-2.355254503560957
88,管理學院,1041,N,80.77623376623377,-3.1987337662337723
89,管理學院,1041,Y,77.5775,-3.1987337662337723
90,管理學院,1042,N,82.55266233766234,-2.7775816925010446
91,管理學院,1042,Y,79.7750806451613,-2.7775816925010446
92,管理學院,1051,N,84.31396103896104,-2.923638458315878
93,管理學院,1051,Y,81.39032258064516,-2.923638458315878
94,管理學院,1052,N,82.37168831168832,-2.8270915374947663
95,管理學院,1052,Y,79.54459677419355,-2.8270915374947663
96,資訊電機學院,1021,N,77.04152,-1.9080886274509936
97,資訊電機學院,1021,Y,75.13343137254901,-1.9080886274509936
98,資訊電機學院,1022,N,76.30528,-2.143025098039203
99,資訊電機學院,1022,Y,74.1622549019608,-2.143025098039203
100,資訊電機學院,1031,N,76.54248,-3.4667937254901915
101,資訊電機學院,1031,Y,73.0756862745098,-3.4667937254901915
102,資訊電機學院,1032,N,78.40336,-1.6572815686274538
103,資訊電機學院,1032,Y,76.74607843137255,-1.6572815686274538
104,資訊電機學院,1041,N,80.10072,0.18349568627451163
105,資訊電機學院,1041,Y,80.28421568627451,0.18349568627451163
106,資訊電機學院,1042,N,81.20768,0.9308494117646973
107,資訊電機學院,1042,Y,82.1385294117647,0.9308494117646973
108,資訊電機學院,1051,N,79.57784,0.5713756862745214
109,資訊電機學院,1051,Y,80.14921568627452,0.5713756862745214
110,資訊電機學院,1052,N,79.42208000000001,-0.8862956862745222
111,資訊電機學院,1052,Y,78.53578431372549,-0.8862956862745222
